id_API,x,y,z,alternativeColorMap
13258,-1.7141215,8.4140215,-1,#0000FF
14396,6.195793,4.5203695,-1,#0000FF
14454,5.9313674,4.6610694,-1,#0000FF
15031,5.538698,3.4855871,-1,#0000FF
15115,8.892437,4.289578,-1,#0000FF
15379,10.03866,3.9865065,-1,#0000FF
15747,9.97032,4.4731526,-1,#0000FF
15881,8.917068,3.882826,-1,#0000FF
16125,5.6608915,3.5500724,-1,#0000FF
16322,10.024202,4.405105,-1,#0000FF
16573,6.2108665,4.4882126,-1,#0000FF
16971,5.207034,6.3675394,-1,#0000FF
17292,8.8306675,4.640533,-1,#0000FF
18723,9.111274,4.346777,-1,#0000FF
18846,6.33231,4.499383,-1,#0000FF
19048,10.0304575,4.5508757,-1,#0000FF
19317,8.838659,3.8963833,-1,#0000FF
19405,9.939979,3.380988,-1,#0000FF
19948,9.841343,3.390923,-1,#0000FF
20154,7.681141,4.6242485,-1,#0000FF
20252,8.021693,3.740696,-1,#0000FF
20356,11.29347,9.741989,-1,#0000FF
20483,10.006911,4.270032,-1,#0000FF
20487,8.924793,4.2482595,-1,#0000FF
20689,10.130617,4.2716017,-1,#0000FF
20724,8.548817,6.4525676,-1,#0000FF
21005,8.586012,3.7906466,-1,#0000FF
21031,9.019779,3.9697146,-1,#0000FF
21076,6.5180597,6.5567455,-1,#0000FF
21093,5.772826,7.112613,-1,#0000FF
21270,9.744395,5.0142627,-1,#0000FF
21294,11.228863,4.2318277,-1,#0000FF
21297,5.2555523,3.4158514,-1,#0000FF
21625,9.48091,5.455324,-1,#0000FF
21790,11.946481,7.0129576,-1,#0000FF
25716,4.7537756,5.980833,-1,#0000FF
160908,9.868829,6.0867467,-1,#0000FF
161210,9.109978,5.1145225,-1,#0000FF
161242,10.4759,5.6940017,-1,#0000FF
161400,9.68207,5.930863,-1,#0000FF
161477,10.278653,5.84932,-1,#0000FF
161639,10.364762,5.7607965,-1,#0000FF
163784,5.238796,1.1326394,-1,#0000FF
164318,5.270481,1.1759213,-1,#0000FF
164498,5.2658734,1.1209786,-1,#0000FF
164575,5.22698,1.1672096,-1,#0000FF
164679,5.2143965,1.1774915,-1,#0000FF
164709,5.232959,1.1301262,-1,#0000FF
164776,5.3131614,1.1985898,-1,#0000FF
164780,5.2438884,1.140942,-1,#0000FF
164865,5.2257614,1.1517975,-1,#0000FF
168763,5.4572086,0.80337214,-1,#0000FF
168792,5.4304056,0.8408777,-1,#0000FF
168864,5.4374685,0.841656,-1,#0000FF
168905,7.6452475,5.3373933,-1,#0000FF
168962,5.442093,0.85276645,-1,#0000FF
169255,8.916669,4.437132,-1,#0000FF
169258,8.90055,4.389157,-1,#0000FF
169788,9.707626,5.939212,-1,#0000FF
169793,9.446175,5.7851186,-1,#0000FF
169841,9.381975,5.3423653,-1,#0000FF
169899,9.728617,5.8504534,-1,#0000FF
170744,10.319311,5.020522,-1,#0000FF
171675,7.4776483,4.9015884,-1,#0000FF
180957,8.782494,4.2283216,-1,#0000FF
181036,7.7993245,4.604271,-1,#0000FF
181367,9.036515,5.0549903,-1,#0000FF
183692,8.749978,4.707031,-1,#0000FF
186976,9.13217,5.1733317,-1,#0000FF
189718,10.055439,5.425486,-1,#0000FF
191729,8.936081,4.6091557,-1,#0000FF
195947,9.316783,5.1524644,-1,#0000FF
196188,7.5476146,4.573559,-1,#0000FF
196440,7.773714,4.5377593,-1,#0000FF
198085,8.924232,4.38198,-1,#0000FF
200790,8.891338,3.3843026,-1,#0000FF
203111,7.9013014,4.5340676,-1,#0000FF
203486,7.745492,4.753082,-1,#0000FF
203902,7.3730783,5.249868,-1,#0000FF
204040,8.733686,4.283284,-1,#0000FF
205022,8.793603,4.79891,-1,#0000FF
206007,7.5437226,4.8351536,-1,#0000FF
207448,10.097069,4.936118,-1,#0000FF
207623,7.583684,4.754911,-1,#0000FF
209465,9.813802,5.822935,-1,#0000FF
209756,8.811318,4.5014606,-1,#0000FF
209976,8.918441,4.6689644,-1,#0000FF
