id_API,x,y,z,alternativeColorMap
13258,-1.7141215,8.4140215,0,#0000FF
14396,6.195793,4.5203695,0,#0000FF
14454,5.9313674,4.6610694,18,#e377c2
15031,5.538698,3.4855871,0,#0000FF
15115,8.892437,4.289578,59,#2ca02c
15379,10.03866,3.9865065,0,#0000FF
15747,9.97032,4.4731526,0,#0000FF
15881,8.917068,3.882826,18,#e377c2
16125,5.6608915,3.5500724,0,#0000FF
16322,10.024202,4.405105,0,#0000FF
16573,6.2108665,4.4882126,50,#2ca02c
16971,5.207034,6.3675394,0,#0000FF
17292,8.8306675,4.640533,0,#0000FF
18723,9.111274,4.346777,0,#0000FF
18846,6.33231,4.499383,13,#e377c2
19048,10.0304575,4.5508757,0,#0000FF
19317,8.838659,3.8963833,0,#0000FF
19405,9.939979,3.380988,18,#e377c2
19948,9.841343,3.390923,0,#0000FF
20154,7.681141,4.6242485,0,#0000FF
20252,8.021693,3.740696,0,#0000FF
20356,11.29347,9.741989,0,#0000FF
20483,10.006911,4.270032,0,#0000FF
20487,8.924793,4.2482595,0,#0000FF
20689,10.130617,4.2716017,0,#0000FF
20724,8.548817,6.4525676,13,#e377c2
21005,8.586012,3.7906466,18,#e377c2
21031,9.019779,3.9697146,0,#0000FF
21076,6.5180597,6.5567455,0,#0000FF
21093,5.772826,7.112613,18,#e377c2
21270,9.744395,5.0142627,0,#0000FF
21294,11.228863,4.2318277,0,#0000FF
21297,5.2555523,3.4158514,0,#0000FF
21625,9.48091,5.455324,0,#0000FF
21790,11.946481,7.0129576,50,#2ca02c
25716,4.7537756,5.980833,0,#0000FF
160908,9.868829,6.0867467,0,#0000FF
161210,9.109978,5.1145225,18,#e377c2
161242,10.4759,5.6940017,0,#0000FF
161400,9.68207,5.930863,18,#e377c2
161477,10.278653,5.84932,0,#0000FF
161639,10.364762,5.7607965,18,#e377c2
163784,5.238796,1.1326394,0,#0000FF
164318,5.270481,1.1759213,0,#0000FF
164498,5.2658734,1.1209786,0,#0000FF
164575,5.22698,1.1672096,0,#0000FF
164679,5.2143965,1.1774915,0,#0000FF
164709,5.232959,1.1301262,0,#0000FF
164776,5.3131614,1.1985898,0,#0000FF
164780,5.2438884,1.140942,0,#0000FF
164865,5.2257614,1.1517975,0,#0000FF
168763,5.4572086,0.80337214,0,#0000FF
168792,5.4304056,0.8408777,0,#0000FF
168864,5.4374685,0.841656,0,#0000FF
168905,7.6452475,5.3373933,0,#0000FF
168962,5.442093,0.85276645,0,#0000FF
169255,8.916669,4.437132,0,#0000FF
169258,8.90055,4.389157,0,#0000FF
169788,9.707626,5.939212,0,#0000FF
169793,9.446175,5.7851186,0,#0000FF
169841,9.381975,5.3423653,0,#0000FF
169899,9.728617,5.8504534,0,#0000FF
170744,10.319311,5.020522,18,#e377c2
171675,7.4776483,4.9015884,0,#0000FF
180957,8.782494,4.2283216,0,#0000FF
181036,7.7993245,4.604271,0,#0000FF
181367,9.036515,5.0549903,18,#e377c2
183692,8.749978,4.707031,0,#0000FF
186976,9.13217,5.1733317,0,#0000FF
189718,10.055439,5.425486,0,#0000FF
191729,8.936081,4.6091557,29,#8c564b
195947,9.316783,5.1524644,0,#0000FF
196188,7.5476146,4.573559,18,#e377c2
