id_API,anoApresentacao,dataApresentacao,tipo,ano_query,temas,partidos
59424,2002.0,2002-06-25T19:45,Requerimento de Informação,2002.0,Previdência e Assistência Social; Trabalho e Emprego,PSL
59425,2002.0,2002-06-25T19:46,Requerimento de Informação,2002.0,Previdência e Assistência Social,PSL
59426,2002.0,2002-06-25T19:46,Requerimento de Informação,2002.0,Administração Pública; Previdência e Assistência Social,PSL
59458,2002.0,2002-06-26T14:33,Projeto de Lei,2002.0,"Indústria, Comércio e Serviços",PTB
59471,2002.0,2002-06-26T14:56,Projeto de Decreto Legislativo,2002.0,"Política, Partidos e Eleições",PTB
59493,2002.0,2002-06-26T15:24,Projeto de Lei,2002.0,"Viação, Transporte e Mobilidade",PMDB
59494,2002.0,2002-06-26T15:24,Requerimento de Informação,2002.0,Economia; Meio Ambiente e Desenvolvimento Sustentável,PT
59517,2002.0,2002-06-26T16:03,Projeto de Lei Complementar,2002.0,Administração Pública,PR
59529,2002.0,2002-06-26T16:14,Projeto de Lei,2002.0,Direito Penal e Processual Penal,PR
59533,2002.0,2002-06-26T16:15,Projeto de Lei,2002.0,Defesa e Segurança,PR
59535,2002.0,2002-06-26T16:15,Projeto de Lei,2002.0,"Indústria, Comércio e Serviços",PSOL
59539,2002.0,2002-06-26T16:16,Projeto de Lei,2002.0,Saúde,PSOL
59543,2002.0,2002-06-26T16:17,Proposta de Emenda à Constituição,2002.0,Processo Legislativo e Atuação Parlamentar,PFL
59553,2002.0,2002-06-26T16:23,Projeto de Lei,2002.0,Administração Pública,PMDB
59608,2002.0,2002-06-26T17:21,Projeto de Lei,2002.0,Estrutura Fundiária,DEM
59610,2002.0,2002-06-26T17:22,Projeto de Lei,2002.0,"Finanças Públicas e Orçamento; Viação, Transporte e Mobilidade",PTB
59611,2002.0,2002-06-26T17:23,Requerimento de Informação,2002.0,Economia,PT
59614,2002.0,2002-06-26T17:28,Projeto de Lei,2002.0,"Política, Partidos e Eleições",PFL
59628,2002.0,2002-06-26T17:45,Requerimento de Informação,2002.0,Administração Pública,PT
59630,2002.0,2002-06-26T17:46,Requerimento de Informação,2002.0,"Indústria, Comércio e Serviços",PT
59632,2002.0,2002-06-26T17:47,Indicação ,2002.0,Educação,PCdoB
59636,2002.0,2002-06-26T17:49,Indicação ,2002.0,Educação,PCdoB
59637,2002.0,2002-06-26T17:50,Requerimento de Informação,2002.0,Administração Pública,PCdoB
59639,2002.0,2002-06-26T17:50,Indicação ,2002.0,Educação,PCdoB
59657,2002.0,2002-06-26T18:02,Projeto de Lei,2002.0,"Viação, Transporte e Mobilidade",PFL
59660,2002.0,2002-06-26T18:12,Projeto de Lei,2002.0,Defesa e Segurança,SPART
59663,2002.0,2002-06-26T18:13,Projeto de Lei,2002.0,Direitos Humanos e Minorias; Finanças Públicas e Orçamento,SPART
59665,2002.0,2002-06-26T18:16,Projeto de Resolução,2002.0,Homenagens e Datas Comemorativas,PCdoB
59666,2002.0,2002-06-26T18:18,Projeto de Lei,2002.0,"Política, Partidos e Eleições",PDT
59671,2002.0,2002-06-26T18:27,Requerimento de Informação,2002.0,Processo Legislativo e Atuação Parlamentar,PT
59680,2002.0,2002-06-26T18:35,Projeto de Lei Complementar,2002.0,Direitos Humanos e Minorias,PT
59687,2002.0,2002-06-26T18:47,Proposta de Emenda à Constituição,2002.0,Administração Pública,PMDB
59688,2002.0,2002-06-26T18:47,Proposta de Emenda à Constituição,2002.0,Defesa e Segurança,PCdoB
59696,2002.0,2002-06-26T18:55,Requerimento de Informação,2002.0,"Cidades e Desenvolvimento Urbano; Indústria, Comércio e Serviços",PT
59700,2002.0,2002-06-26T18:58,Proposta de Emenda à Constituição,2002.0,Processo Legislativo e Atuação Parlamentar,PROS
59703,2002.0,2002-06-26T19:00,Proposta de Emenda à Constituição,2002.0,Direito e Justiça,PDT
59710,2002.0,2002-06-26T19:19,Projeto de Resolução,2002.0,Processo Legislativo e Atuação Parlamentar,PL
59718,2002.0,2002-06-26T19:45,Proposta de Emenda à Constituição,2002.0,Finanças Públicas e Orçamento,PHS
59719,2002.0,2002-06-26T19:51,Projeto de Lei,2002.0,"Energia, Recursos Hídricos e Minerais",PSDB
59741,2002.0,2002-06-26T19:52,Projeto de Lei,2002.0,Direito Penal e Processual Penal,PFL
